fileid,pos,features,r2_test,mse_test,mae_test,best_alpha
Max,all,"('1mer',)",0.8084874910184241,0.00894506905094372,0.07412324223222003,17.0
Max,all,"('1mer',)",0.7841437870924579,0.009632854195595066,0.07658294344948718,20.0
Max,all,"('1mer',)",0.7966269336242804,0.009292501546271962,0.07506340606751655,19.0
Max,all,"('1mer',)",0.7899229787857605,0.009835685420062407,0.07853421464573934,16.0
Max,all,"('1mer',)",0.7915068518842842,0.009813689539766923,0.0776941995280356,21.0
Max,all,"('1mer',)",0.7591556313478468,0.010784756969005016,0.08023419532559718,15.0
Max,all,"('1mer',)",0.7919190900905548,0.009477820694789727,0.07660408702647709,28.0
Max,all,"('1mer',)",0.7813423660706947,0.010335390727144926,0.07988080119936206,26.0
Max,all,"('1mer',)",0.7906017914571237,0.009940596587860357,0.07880301078401938,26.0
Max,all,"('1mer',)",0.7574591028573862,0.010400551820327206,0.07943394027548643,21.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9247637362038315,0.0035140972167853994,0.04586012137144155,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9180800282240955,0.003655781472282924,0.04805843689729313,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9211105472205051,0.003604608884559387,0.04725719268049723,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9194076087646571,0.0037732894481259773,0.048706043889932556,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.920147444137152,0.003758628037790252,0.04823690008309478,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9155290301868108,0.0037825209925798314,0.048209068577784286,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9245062048424854,0.0034386463149526556,0.04635601661677797,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9289493319518874,0.00335838453250315,0.04520468868945063,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9247285816851334,0.0035733008857664716,0.04705361900919609,1.0
Max,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9146980950164061,0.00365788571579675,0.047435774263597054,1.0
Mad,all,"('1mer',)",0.786628954766697,0.14931989198616957,0.3038189709448669,34.0
Mad,all,"('1mer',)",0.7460669639235411,0.16444761041212225,0.31385928719141193,19.0
Mad,all,"('1mer',)",0.7733197975467435,0.13447089569609308,0.2858655712930338,33.0
Mad,all,"('1mer',)",0.7621445420152261,0.16065317690824316,0.30876987112158544,23.0
Mad,all,"('1mer',)",0.7809857949731982,0.14123453725187357,0.29288517313325113,22.0
Mad,all,"('1mer',)",0.7692246333364827,0.1412842901159765,0.28648491409683075,29.0
Mad,all,"('1mer',)",0.7828446121151986,0.14386238594150985,0.2983874540091195,27.0
Mad,all,"('1mer',)",0.7781635696529328,0.1407327864980232,0.29554383843169385,23.0
Mad,all,"('1mer',)",0.7783486334141861,0.13847791131842058,0.29121000763133914,21.0
Mad,all,"('1mer',)",0.778655844578862,0.13670400100754093,0.285048690748937,23.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9457876790318221,0.03793850239818955,0.15723527447625824,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9425216996465798,0.03722307774410319,0.1527615514753134,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9299063439030919,0.04158085538991342,0.16098145660689664,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9473192042903413,0.03558184985333649,0.14930252421022844,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9358703297346606,0.041354962811348574,0.159684371304113,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9406900299791205,0.03631049159340155,0.15217424902911075,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9429802791483823,0.037774761968071384,0.15524019567704192,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9390144485050042,0.03868916653852439,0.1532797446180252,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9416629268964327,0.036446407528393954,0.1543268625853238,1.0
Mad,all,"('1mer', 'DNaseI', 'NPP', 'twistDisp', 'trxDi', 'stiffness')",0.9391550634620659,0.037578341519611584,0.1522881794350844,1.0
Myc,all,"('1mer',)",0.7750250994584792,0.13819023618906517,0.2946276870435076,24.0
Myc,all,"('1mer',)",0.7694772304187558,0.14307761204900318,0.303202076712184,20.0
Myc,all,"('1mer',)",0.7924256663888501,0.12706388807055288,0.28696337607837435,22.0
Myc,all,"('1mer',)",0.7815040646625018,0.14436487249632599,0.30254400237960355,22.0
Myc,all,"('1mer',)",0.7493594613669994,0.15060507036249743,0.3078079904251704,23.0
Myc,all,"('1mer',)",0.7735727456974308,0.14353779812457998,0.303070891927829,20.0
Myc,all,"('1mer',)",0.7640443504242254,0.14058297135893802,0.30433061943452067,22.0
